seed,data,model,pred_len,train_time,mse,mae,mape,total inference time,avg inference time,avg_sample_time
9012,Line1,XGBoost,28,0.642359495,362.4815636,16.94235003,16.0289025,,,
3047,Line1,TimeXer,1,5.73719,70.73504,5.65836,0.07126,0.03282,0.00164,0.00024
3047,Line1,TimeXer,7,5.17852,117.10466,7.49659,0.09753,0.03415,0.0018,0.00026
3047,Line1,TimeXer,14,4.8101,151.62142,8.75855,0.11443,0.02804,0.00156,0.00023
3047,Line1,TimeXer,28,5.35616,174.93762,9.28572,0.12085,0.0393,0.00246,0.00036
1234,Line10,XGBoost,1,0.150507689,35.24279606,5.936564331,3.365780888,,,
1234,Line10,XGBoost,7,0.154098749,228.3177324,13.04975974,7.497924103,,,
1234,Line10,XGBoost,14,0.317575455,3049.97384,47.77035481,27.48033347,,,
1234,Line10,XGBoost,28,0.224484921,2259.21781,41.20686094,23.96040462,,,
5678,Line1,TimeXer,1,6.28172,78.09991,6.13035,0.07821,0.03332,0.00167,0.00024
5678,Line1,TimeXer,7,5.72447,146.5994,8.51664,0.11133,0.0404,0.00213,0.00031
5678,Line1,TimeXer,14,6.1927,149.50341,8.61274,0.11032,0.02823,0.00157,0.00023
5678,Line1,TimeXer,28,5.99212,169.16177,8.98131,0.11761,0.0294,0.00184,0.00027
9012,Line1,TimeXer,1,6.27056,67.89047,5.70017,0.07047,0.03228,0.00161,0.00024
9012,Line1,TimeXer,7,6.49076,111.84396,7.08144,0.09177,0.03578,0.00188,0.00028
9012,Line1,TimeXer,14,5.28798,167.70777,9.35784,0.11972,0.04392,0.00244,0.00036
9012,Line1,TimeXer,28,5.07285,150.30074,8.44302,0.11033,0.02868,0.00179,0.00026
3456,Line1,TimeXer,1,5.35704,76.43392,5.8109,0.07233,0.03416,0.00171,0.00025
3456,Line1,TimeXer,7,5.23953,131.71667,7.89103,0.10241,0.03335,0.00176,0.00026
3456,Line1,TimeXer,14,4.75258,156.24857,8.65516,0.11443,0.03997,0.00222,0.00032
3456,Line1,TimeXer,28,6.03589,161.17769,8.72096,0.11331,0.03483,0.00218,0.00032
3047,Line1,TimeMixer,1,4.18907,134.07916,8.47451,0.10727,0.02424,0.00121,0.00018
3047,Line1,TimeMixer,7,4.94287,154.9093,9.01399,0.11394,0.02424,0.00128,0.00019
3047,Line1,TimeMixer,14,4.8739,139.4499,8.18828,0.1054,0.02668,0.00148,0.00022
3047,Line1,TimeMixer,28,4.60906,172.43224,9.56193,0.12491,0.02265,0.00142,0.00021
3047,Line1,SCINet,1,38.60548,80.05802,6.23691,0.0776,0.2439,0.01219,0.00179
3047,Line1,SCINet,7,32.92411,122.29421,7.80829,0.09881,0.18713,0.00985,0.00144
3047,Line1,SCINet,14,28.33213,144.77287,8.59677,0.10964,0.26573,0.01476,0.00216
3047,Line1,SCINet,28,33.32112,161.48262,9.1165,0.11692,0.25876,0.01617,0.00237
3047,Line1,SegRNN,1,4.19035,73.29874,5.28693,0.06754,0.0207,0.00104,0.00015
3047,Line1,SegRNN,14,3.23441,543.8547,17.74832,0.22551,0.01618,0.0009,0.00013
3047,Line1,SegRNN,28,3.81291,554.90094,18.08798,0.231,0.01919,0.0012,0.00018
1234,Line11,XGBoost,1,0.177312374,0.001193866,0.034552367,4.798939824,,,
1234,Line11,XGBoost,7,0.156523943,0.157260758,0.317076642,33.60018266,,,
1234,Line11,XGBoost,14,0.262028933,0.092888923,0.229886052,26.60736619,,,
1234,Line11,XGBoost,28,0.276088238,0.034508316,0.132369486,17.42058263,,,
1234,Line13,XGBoost,1,0.145783424,3.511734514,1.87396225,3.645131783,,,
1234,Line13,XGBoost,7,0.157009125,11.59620876,3.09649765,8.149032895,,,
1234,Line13,XGBoost,14,0.245284081,137.7804449,10.61729607,22.45782501,,,
1234,Line13,XGBoost,28,0.217321873,12.15195756,3.243613671,8.50413507,,,
1234,Line14,XGBoost,1,0.14083147,0.08053502,0.283786926,0.335485195,,,
1234,Line14,XGBoost,7,0.144111395,154.4386321,9.669136592,11.60150046,,,
1234,Line14,XGBoost,14,0.2283113,338.8208009,16.03041896,19.38594724,,,
1234,Line14,XGBoost,28,0.235433817,303.3759385,15.28858496,18.5649119,,,
1234,Line15,XGBoost,1,0.178414106,0.262387463,0.512237701,1.277719385,,,
1234,Line15,XGBoost,7,0.167826653,26.31988312,3.266093924,8.529167187,,,
1234,Line15,XGBoost,14,0.249764919,45.80813261,5.870936552,15.07443177,,,
1234,Line15,XGBoost,28,0.219852924,40.52827786,5.247614174,13.61486201,,,
1234,Line16,XGBoost,1,0.156056404,3.954608271,1.98861969,6.492392066,,,
1234,Line16,XGBoost,7,0.158052206,4.46418482,2.034112265,7.394933044,,,
